"","Language","GB257","GB260","GB262","GB263","GB264","GB285","GB286","GB291","GB297","Marking","Particles","Position","Latitude","Longitude"
"136","awji1241","?","0","0","0","0","0","0","0","0","UnknownQuestionMarking","No particle","No particle",29.2341,21.1819
"137","awtu1239","1","0","0","1","0","0","0","0","?","MultipleStrategies","Particle","Final",-3.53129,141.928
"138","axam1237","1","0","0","1","0","1","1","0","0","MultipleStrategies","Particle","Final",-16.4838,167.707
"139","axiy1235","0","0","0","1","0","0","1","0","1","MultipleStrategies","Particle","Final",24.6009,103.713
"140","ayac1239","0","0","0","1","1","0","0","0","0","ParticleOnly","Particle","Multiple",-13.84714,-74.32246
"141","ayiw1239","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-10.282595,166.328715
"142","azha1235","0","0","0","1","0","0","0","0","1","MultipleStrategies","Particle","Final",23.9,104.15
"143","baba1264","?","?","?","?","?","0","0","?","?","UnknownQuestionMarking","No particle","No particle",6.11222,10.5216
"144","baba1266","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",5.97863,10.2869
"145","baba1267","0","0","0","1","0","0","0","0","1","MultipleStrategies","Particle","Final",1.75414,103.076
"146","baba1268","0","0","0","1","0","0","0","?","?","ParticleOnly","Particle","Final",-7.22281,157.149
"147","babi1235","0","0","0","0","1","?","1","0","?","MultipleStrategies","Particle","Other",55.0997,-126.41
"148","bada1257","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",11.3094,76.5974
"149","bafa1247","?","?","?","1","?","?","?","?","?","ParticleOnly","Particle","Final",4.53307,9.522
"150","bafi1243","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",4.72603,11.0982
"151","bafu1246","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",6.14153,10.1194
"152","baga1272","0","0","0","1","0","0","0","0","?","ParticleOnly","Particle","Final",10.4793,-14.4756
"153","baga1273","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",10.1286,-13.947
"154","bagi1246","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",11.52392,14.769495
"155","bagv1239","0","0","0","0","0","0","0","0","0","NoQuestionMarking","No particle","No particle",42.3966,46.1041
"156","baha1259","?","?","1","1","0","0","0","0","0","ParticleOnly","Particle","Multiple",26.223615,50.580811
"157","baha1260","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",25.032149,-77.390587
"158","bahi1252","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",27.3323,86.3949
"159","bahn1262","0","0","0","?","1","0","0","0","0","ParticleOnly","Particle","Other",14.0476,108.471
"160","baik1238","0","0","0","1","0","0","0","0","?","ParticleOnly","Particle","Final",-9.32991,124.256
"161","baim1244","0","0","0","0","1","0","1","0","0","MultipleStrategies","Particle","Other",33.1001,103.952
"162","baka1272","0","0","0","0","0","0","0","1","0","ToneOnly","No particle","No particle",2.16013,13.7804
"163","baka1274","?","?","0","0","0","0","?","?","?","UnknownQuestionMarking","No particle","No particle",4.65943,29.59
"164","baki1244","1","0","0","1","0","0","0","0","0","MultipleStrategies","Particle","Final",-16.7096,168.165
"165","bala1311","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",6.011614,121.686646
"166","bala1315","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-0.86809,123.289
"167","bala1316","1","?","0","0","0","0","0","?","?","IntonationOnly","No particle","No particle",-20.25,164.2
"168","bali1278","1","0","0","0","1","1","0","0","0","MultipleStrategies","Particle","Other",-8.35714,115.075
"169","balo1261","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",0.93777,18.1266
"170","balu1257","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-2.5604,147.282
"171","bamb1262","0","0","0","1","0","1","1","?","?","MultipleStrategies","Particle","Final",9.82554,34.6522
"172","bamb1266","1","0","0","0","1","0","0","0","?","MultipleStrategies","Particle","Other",6.10821,10.2233
"173","bamb1269","1","0","0","1","0","0","0","?","?","MultipleStrategies","Particle","Final",12.9,-7.65
"174","bamb1270","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-3.02759,119.201
"175","bamu1253","1","0","0","1","0","0","0","0","0","MultipleStrategies","Particle","Final",5.49017,10.8477
"176","bamw1238","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",2.16773,19.1644
"177","bana1288","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",17.5643,121.05
"178","band1344","0","0","0","0","0","0","0","1","0","ToneOnly","No particle","No particle",6.21563,20.9827
"179","bang1354","0","0","0","0","0","0","0","1","0","ToneOnly","No particle","No particle",-0.87437,17.227
"180","bang1363","?","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",14.8116,-3.77092
"181","bang1369","0","0","0","1","0","0","0","0","1","MultipleStrategies","Particle","Final",27.95,93.15
"182","bank1256","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",4.3702,9.6403
"183","bant1281","?","?","?","?","?","?","?","0","?","UnknownQuestionMarking","No particle","No particle",27.12147,87.04738
"184","bant1288","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",12.5194,122.034
"185","bara1357","1","0","0","1","0","0","0","0","0","MultipleStrategies","Particle","Final",28.3768,85.0584
"186","bara1361","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",3.34642,26.861
"187","bara1369","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",-23.9716,45.5937
"188","bara1370","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",3.51211,114.482
"189","bara1380","0","0","?","?","?","?","0","?","?","UnknownQuestionMarking","No particle","No particle",0.02193,-70.808
"190","bare1276","1","0","0","0","0","?","0","?","?","IntonationOnly","No particle","No particle",1.91649,-66.828
"191","bare1279","1","0","0","1","0","0","0","0","?","MultipleStrategies","Particle","Final",10.970124,17.911727
"192","barg1252","?","0","0","0","0","0","0","0","0","UnknownQuestionMarking","No particle","No particle",-4.8723,145.756
"193","bari1286","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-5.5087,148.666
"194","baro1253","1","?","?","?","?","?","?","?","?","IntonationOnly","No particle","No particle",-3.47672,152.193
"195","basa1282","?","0","0","0","0","0","0","1","0","ToneOnly","No particle","No particle",8.03159,7.06183
"196","basa1287","?","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",25.0046,121.857
"197","bash1264","1","0","0","1","0","0","0","0","0","MultipleStrategies","Particle","Final",53.5967,56.5594
"198","basq1248","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",43.2787,-1.31622
"199","bata1285","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",1.397041,9.51011
"200","bata1289","1","0","0","0","0","0","0","0","?","IntonationOnly","No particle","No particle",2.35498,99.1761
"201","bath1248","1","0","0","1","1","0","0","0","0","MultipleStrategies","Particle","Multiple",12.188285,12.360552
"202","bats1242","?","0","0","0","1","0","1","0","0","MultipleStrategies","Particle","Other",42.1806,45.344
"203","baur1253","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-13.61,-63.68
"204","bawm1236","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",22.4405233333,92.92553
"205","bayb1234","0","0","0","0","1","0","0","0","0","ParticleOnly","Particle","Other",10.6956,124.8086
"206","bayo1255","?","0","?","0","0","0","0","?","?","UnknownQuestionMarking","No particle","No particle",12.6881,-16.3947
"207","bebe1248","1","0","0","1","0","0","0","0","0","MultipleStrategies","Particle","Final",4.78874,12.824
"208","beel1236","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",10.1609,10.4204
"209","beem1239","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",-3.95895,14.1
"210","beka1241","1","0","1","1","0","0","0","0","0","MultipleStrategies","Particle","Multiple",1.3307,109.576
"211","bekw1241","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",6.73737,8.86489
"212","bekw1242","1","0","0","1","0","0","0","0","0","MultipleStrategies","Particle","Final",1.71801,14.6527
"213","bela1254","?","1","1","0","0","0","0","0","0","MultipleStrategies","Particle","Initial",53.2307,25.6038
"214","belh1239","?","?","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",26.9972,87.2783
"215","beli1257","0","0","0","0","0","0","0","1","0","ToneOnly","No particle","No particle",6.40428,29.7954
"216","beli1260","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",17.3941,-88.6281
"217","bell1243","0","0","0","0","0","0","1","0","0","MorphOnly","No particle","No particle",52.3448,-126.689
"218","belu1239","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",1.314698,28.933744
"219","bemb1257","0","0","1","0","0","0","0","1","0","MultipleStrategies","Particle","Initial",-10.6122,29.2993
"220","bena1262","1","0","0","0","0","0","0","0","?","IntonationOnly","No particle","No particle",-9.26671,35.0364
"221","beng1282","1","0","0","1","0","0","0","0","0","MultipleStrategies","Particle","Final",1.075766,9.600739
"222","bent1238","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",14.78,-2.94
"223","bera1262","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",1.6687,117.934
"224","berb1259","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",5.3829,-58.0002
"225","berj1234","1","0","0","1","0","0","1","0","0","MultipleStrategies","Particle","Final",70.6687,130.914
"226","bert1248","?","?","1","?","?","?","?","?","?","ParticleOnly","Particle","Initial",10.6474,34.7042
"227","beta1252","0","0","1","1","0","0","0","0","0","ParticleOnly","Particle","Multiple",-6.21174,107.022
"228","beto1236","0","0","0","0","0","0","1","0","0","MorphOnly","No particle","No particle",7.223906,-71.420238
"229","betu1237","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",18.1632,81.3842
"230","bezh1248","0","0","0","1","1","0","0","0","0","ParticleOnly","Particle","Multiple",42.1206,46.0332
"231","bhoj1244","?","0","1","0","0","0","0","0","0","ParticleOnly","Particle","Initial",26.458455,84.817115
"232","biaf1240","0","0","1","0","0","?","0","0","0","ParticleOnly","Particle","Initial",11.467,-15.1347
"233","bian1252","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",-7.33882,146.765
"234","biao1253","?","?","0","1","0","0","0","0","1","MultipleStrategies","Particle","Final",23.656,113.391
"235","biao1254","0","0","0","1","0","0","0","0","1","MultipleStrategies","Particle","Final",25.5309,111.344
"236","biao1256","0","0","0","1","0","0","0","0","1","MultipleStrategies","Particle","Final",24.6451,113.469
"237","biat1246","1","?","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",1.17596,110.254
"238","bidy1244","1","0","0","0","0","0","0","0","?","IntonationOnly","No particle","No particle",11.1097,-16.1497
"239","bier1244","1","0","1","1","0","0","0","0","0","MultipleStrategies","Particle","Multiple",-16.6663,168.154
"240","bign1238","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-16.0903,167.239
"241","biha1246","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",12.483333,108.016667
"242","bila1255","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",1.16839,28.7626
"243","bilb1241","1","0","0","0","0","0","1","0","0","MultipleStrategies","No particle","No particle",-5.26505,145.764
"244","bili1250","1","0","1","0","0","0","0","0","0","MultipleStrategies","Particle","Initial",-16.868771,130.533991
"245","bili1260","0","0","0","0","0","0","1","0","0","MorphOnly","No particle","No particle",15.7833,38.3917
"246","bimi1240","?","0","0","0","0","0","0","0","0","UnknownQuestionMarking","No particle","No particle",-5.38732,142.04
"247","bina1277","0","0","0","0","0","0","1","0","0","MorphOnly","No particle","No particle",-8.37433,147.884
"248","bini1246","1","0","0","1","0","0","0","1","0","MultipleStrategies","Particle","Final",6.40701,5.70426
"249","binu1244","?","?","?","?","?","?","?","0","?","UnknownQuestionMarking","No particle","No particle",8.15933,124.892
"250","bira1253","1","0","0","0","0","0","1","0","0","MultipleStrategies","No particle","No particle",5.29807,37.025
"251","biri1256","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-20.1494,146.67
"252","birr1240","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",5.33,24.6
"253","bisl1239","1","0","1","1","0","0","0","0","0","MultipleStrategies","Particle","Multiple",-15.4,166.89
"254","bisu1244","?","?","0","1","0","0","0","?","0","ParticleOnly","Particle","Final",20.8542,99.9862
"255","bitt1240","1","0","0","1","0","0","0","0","1","MultipleStrategies","Particle","Final",21.3474,101.916
"256","biwa1243","?","?","?","?","?","?","?","?","?","UnknownQuestionMarking","No particle","No particle",-4.39429,143.873
"257","blab1237","1","0","0","0","0","0","0","0","0","IntonationOnly","No particle","No particle",-8.15058,159.419
"258","blan1242","0","0","0","1","0","0","0","0","0","ParticleOnly","Particle","Final",22.0092,99.7405
"259","bobo1255","?","?","1","?","?","?","?","?","?","ParticleOnly","Particle","Initial",-0.36759,121.922
"260","bodo1267","?","0","1","0","0","0","0","0","0","ParticleOnly","Particle","Initial",18.3857,82.771
